team;year;gender;event_type;avg_age;gini;events;points_sum;population;gdp_per_capita;number_participants;average_total_distance;total_butterfly;total_freestyle;total_medley;total_breaststroke;total_backstroke;host_indicator;proportion_participants_to_population;relay_in_proportion
AFG;2020;Men;Individual;21.0;36.8;1;0;-0.09771590242239425;-0.9788681484200665;1;50.0;0;1;0;0;0;False;2.5595754626707803e-08;0.0
AFG;2024;Men;Individual;25.0;36.8;1;0;-0.07650638718393478;-1.0209228661422387;1;50.0;0;1;0;0;0;False;2.3448037694690228e-08;0.0
ALB;1992;Men;Individual;21.0;27.0;3;0;-0.3098190442781859;-0.9434044375134686;1;83.33333333333333;0;2;0;1;0;False;3.0464575639123946e-07;0.0
ALB;2004;Men;Individual;21.0;31.0;1;0;-0.31090867064519906;-0.7183061692572096;1;50.0;0;1;0;0;0;False;3.227204559910955e-07;0.0
ALB;2004;Women;Individual;17.0;31.0;1;0;-0.31090867064519906;-0.7183061692572096;1;50.0;0;1;0;0;0;False;3.227204559910955e-07;0.0
ALB;2008;Men;Individual;16.0;30.0;1;0;-0.3115353047855855;-0.5938801476383164;1;50.0;0;1;0;0;0;False;3.3412074455466717e-07;0.0
ALB;2008;Women;Individual;21.0;30.0;1;0;-0.3115353047855855;-0.5938801476383164;1;50.0;0;1;0;0;0;False;3.3412074455466717e-07;0.0
ALB;2012;Men;Individual;20.0;29.1;1;0;-0.31202679950997647;-0.523456714958572;1;100.0;0;1;0;0;0;False;3.4364213932351984e-07;0.0
ALB;2012;Women;Individual;16.0;29.1;1;0;-0.31202679950997647;-0.523456714958572;1;100.0;1;0;0;0;0;False;3.4364213932351984e-07;0.0
ALB;2016;Men;Individual;24.0;29.0;1;0;-0.3120987343852862;-0.4679944432543165;1;50.0;0;1;0;0;0;False;3.4508139952592716e-07;0.0
ALB;2016;Women;Individual;18.0;29.0;1;0;-0.3120987343852862;-0.4679944432543165;1;100.0;0;1;0;0;0;False;3.4508139952592716e-07;0.0
ALB;2020;Men;Individual;17.0;29.0;1;0;-0.31225231833716066;-0.4165652702992716;1;100.0;0;1;0;0;0;False;3.4819499198106934e-07;0.0
ALB;2020;Women;Individual;22.0;29.0;1;0;-0.31225231833716066;-0.4165652702992716;1;50.0;0;1;0;0;0;False;3.4819499198106934e-07;0.0
ALB;2024;Men;Individual;18.0;29.0;1;0;-0.3127275911159536;-0.2350329264638727;1;100.0;0;1;0;0;0;False;3.58196338158835e-07;0.0
ALB;2024;Women;Individual;16.0;29.0;1;0;-0.3127275911159536;-0.2350329264638727;1;200.0;0;1;0;0;0;False;3.58196338158835e-07;0.0
ALG;1980;Men;Individual;19.833333333333332;40.1;12;0;-0.21899112622453948;-0.7026222653245716;5;333.3333333333333;2;8;0;2;0;False;2.687135617692402e-07;0.0
ALG;1980;Men;Relay;19.25;40.1;4;0;-0.21899112622453948;-0.7026222653245716;4;800.0;0;4;0;0;0;False;2.1497084941539214e-07;1.0
